SMILES,SMILES_1,SMILES_2,SMILES_3,tg
O=C1CCCCCN1,[CH2]-[C](-[NH])=[O],[C]=[O],[CH2]-[CH2]-[CH2],324.0
Brc1ccc(cc1)Br,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[Br]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[Br],538.0
C=CC(=O)OCCCC#N,[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],233.0
C=CC=C,[CH2]=[CH],[CH]-[CH]=[CH2],[CH2]=[CH]-[CH]=[CH2],268.0
O=C1CCCCCO1,[CH2]-[C](=[O])-[O],[C]-[O]-[CH2],[C]=[O],208.0
C=CC(=O)OCCOCC,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],223.0
C=Cc1ccccc1C(=O)OCCCCCC,[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[C]-[O]-[CH2],[CH2]=[CH],318.0
C=Cc1ccc(C(=O)CCC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]-[CH3],347.0
CCCCC=C,[CH]=[CH2],[CH2]-[CH2]-[CH2],[CH3]-[CH2],223.0
C=CC(=O)OCCC(=O)C(F)(F)C(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],251.0
